,评论,评分
43,买 还 想着 装 一个双 系统 害怕 macos 长时间 适应 习惯 回来 熟悉 几个 小时 觉得 没 常用 都 办公 软件 齐全 试用 操作 习惯 慢慢 熟悉 快递 小哥 配送 很快 打开 盒子 一瞬间 真的 惊艳 笔记本 真的 很小 很漂亮 非常适合 携带 喜欢,1
44,运行 速度 运行 流畅 软件 秒 开 很赞 屏幕 效果 显示 清楚 Windows 电脑屏幕 素质 太 散热 性能 散热 特别 开 几个 大型软件 电脑 热 性能 没 降低 外形 外观 看着 好看 摸 起来 舒服 触摸板 很大 喜欢,1
45,运行 速度 屏幕 效果 散热 性能 外形 外观 非常 喜欢 轻薄 程度 轻薄 方便 携带 不错 特色 物流 包装 仔细,1
46,运行 速度 运行 速度 很快 屏幕 效果 还 散热 性能 不错 外形 外观 棒 轻薄 程度 薄 特色 静音 效果,1
47,5799 下手 减 白条 20 到手 5779 裸机 128 内存 另购 专用 sd 卡套 128g 内存 tf 卡 增加 内存 鼠标 还 没 买 蓝牙 版 浏览 网页 视频 播放 运行 速度 大型 游戏 工作 拍照 修图 苹果 颜色 没有 2018 款好 电脑 颜色 跑 偏太多 利于 更好 拍照 修图 平面设计 够用 修图 拍照 剪辑 视频 3d 渲染 不行 还 安装 不到 软件 苹果 系统 真心 好用 多余 垃圾 缓存 设置 人性化 外观 不用说 价格 还好 心意 久,1
48,运行 速度 轻薄 程度 散热 性能 游戏 别想 音乐 音质 京东 自营 买手机 电脑,1
49,软件 闪退 上报 后过 一两天 修复 盘 还要 买 转换器 充电 速度 很快 电量 比较 耐用 速度 还 送 内胆 包 还 算 挺不错 买来 做做 ps 看看 动漫,1
50,运行 速度 速度 屏幕 效果 清晰 很明 散热 性能 散热 很快 外形 外观 漂亮 奔 标志 亮 买 新款 不亮 还 需要 多功能 转接头 完 轻薄 程度 做工 精细 特色 指纹 很赞,1
51,外形 外观 运行 速度 运行 现在 还 不错 屏幕 效果 散热 性能 还 行 轻薄 程度 薄 特色 待机时间 还 蛮长,1
52,买回来 一段时间 感觉 挺 不错 电脑 没有 装 双系统 感觉 苹果 系统 更好 用点 真的 不错,1
53,运行 速度 很快 屏幕 效果 清晰   没有 色差 散热 性能 还 不错 外形 外观 好看 轻薄 程度 合适 特色 整体 性价比 不错   用来 办 公开 网店,1
54,运行 速度 速度 挺快 屏幕 效果 散热 性能 不错 外形 外观 挺 炫 轻薄 程度 超薄 特色 总体 不错,1
55,运行 速度 挺不错 i7 很强 屏幕 效果 清晰 不错 散热 性能 散热 还 外形 外观 漂亮 无话可说 轻薄 程度 很轻 薄 特色 整体 来说 真不错,1
56,运行 速度 挺快 电脑 运行 速度 一倍 屏幕 效果 磨砂 屏幕 光滑 防磨 散热 性能 不错 机子 本来 游戏机 过于 大型 游戏 需要 散热器 外形 外观 银色 很漂亮 喜欢 适合 办公 人士 轻薄 程度 薄 轻 携带 非常 方便 特色 苹果电脑 起来 电脑 区别 系统 苹果 系统 方便快捷 智能 此次 教育 优惠 购买 电脑 享受 很大 实惠,1
57,运行 速度 第一次 苹果电脑   速度 流畅 死机 屏幕 效果 Retina 屏幕   led 屏   手机 效果 棒   大屏 plus 般 色彩鲜艳 明亮 动人心魄 轻薄 程度 质量 不错 非常 轻巧 方便快捷   适合 各类 上班族 外形 外观 金色 款   高端 大气 上档次   简约 简单 挺 适合 女生 特色 好用   好看   使人 心情舒畅 唯一 不好 一点 当初 下订 时 注明 内胆 包 赠送 收到 电脑 没收 赠品 挺 郁闷 第一 京东 买 贵重 东西连 送个 赠品 都 被忽视,1
58,运行 速度 屏幕 效果 清晰 柔和 刺眼 散热 性能 正常 温度 轻薄 程度 携带方便 特色 系统 非常 好用 弹些 没用 窗口,1
59,运行 速度 屏幕 效果 喜欢 散热 性能   外形 外观       杯 舍友 夸 轻薄 程度     随便 搬来搬去           喜欢 放在 桌子 上颜值 高 学习 方便     教育 优惠 还 送 耳机 真的 很值,1
60,有何 感受 美国 产品质量 没 说 设计 感受 都 很棒 系统 喜欢 方便 关键 不卡 知道 几个 月 卡不卡 最 关心 问题 说 努力 赚钱 买好 货,1
61,运行 速度 款 电脑 运行 速度 非常   没有 一点点 卡顿 运行 流畅 度 非常 棒 值得 推荐 屏幕 效果 屏幕 分辨率 非常 高 画质 清晰 没有 瑕疵 显示 完美 特色 特色 教育 优惠 非常 划算 值得 入手 散热 性能 散热 太烫   iOS 用于 办公 玩游戏 发热 外形 外观 外观 非常 MacBook   Air 比较 耐看 轻薄 程度 很轻 薄 非常 携带 值得 推荐,1
62,运行 速度 挺快 屏幕 效果 还 不错 散热 性能 第一天 没 感觉 外形 外观 不错 轻薄 程度 薄 特色 双系统 装 累,1
63,运行 速度 流畅 外形 外观 很漂亮 屏幕 效果 还 不错 轻薄 程度 薄 特色 苹果 系统 触控板 绝对 好用 散热 性能 还 不错,1
64,电脑 机身 轻薄 运行 速度 携带方便 颜值 超高 满足 平时 办公 需要 iOS 系统 超级 舒服 方便 用惯 真的 超级 下载 软件 APP 商城 软件 下载 太少 瑕不掩瑜 喜欢,1
65,本子 查 正品 序列号 电话 技术支持 都 非常 开心 价格便宜 满意 五代 酷锐 i5 处理器 水果 系统优化 相当 效果 满分,1
66,电脑 不错 开机 速度 超快 关机 速度 一段时间 整体 感觉 挺 没有 令 失望 支持 品牌 电子产品 特别 电脑 手机 过后 感觉 都 挺 希望 做 越来越 品牌 打得 响亮 快递 超给力 很大 惊喜 第二天 中午 真是 惊喜 希望,1
67,运行 速度 不错 不错 屏幕 效果 不错 散热 性能 外形 外观 妙哉 轻薄 程度 适中 特色 待查,1
68,屏幕 效果 简直 舒爽 外形 外观 美 方物 买 贴纸 轻薄 程度 非常 便携 特色 音响 太棒了 这种 爱 音乐 太好了 散热 性能 测试 感受,1
69,笔记本 还 不错 整体 挺快 键盘 很轻 流畅 触控板 点击 声音 有点 还 电脑 问题 苹果 售后 检查 说 正常   电脑 薄 包装 没有 一点 磕碰 看着 实用 系统 运行 很快 满意,1
70,纠结 久 下手 屏幕 分辨率 远看 还行 近 看 方面 看着 款 直接 usb3 接口,1
71,运行 速度 速度 特别 加 固态 mac   os 真的 爽 屏幕 效果 屏幕显示 细腻 原彩 显示 真的 棒 苹果 屏幕 调校 没话说 外形 外观 外观 好看 时尚 轻薄 程度 非常 轻薄 散热 性能 散热 不错 没有 烫 很快 凉,1
72,还 不错 包装 速度 非常 轻 携带方便 目前 没有 发现 不适 鼠标 不太好 搞,1
73,运行 速度 很快 屏幕 效果 清晰 散热 性能 散热 外形 外观 很漂亮 特色 完美 轻薄 程度 非常 薄,1
74,第一次 买 苹果 真的 超薄 颜控 值得 拥有 送货 速度 一如既往 真 漂亮 电脑 os 系统 真心 熟悉 还 需要 慢慢 适应,1
75,起来 挺不错 屏幕   质量 非常 卖家 描述 完全一致 价格 比较 实惠 苹果 专卖店 便宜 太多 物流 相当 运行 流畅 画面 音质 都 非常 外观 漂亮 大气 超薄 质感 设置 功能 比较简单 实用性 性价比 高,1
76,挺 满意 流畅 买来 送人 喜欢 生日礼物 惊喜 再用 一段时间 追评 目前为止 流畅 满意,1
77,苹果 系统 操作 完美   不卡   黑屏 死机 试运行 半个 月 喜欢 不错,1
78,入手 两三天 感觉 很棒 还 担心 mac 系统 难 配合 经验 贴 晚上 学会 mac 操作 习惯 接下来 解锁 功能 吐 槽 分辨率 真的 低 办公 绘图 设计,1
79,运行 速度 很快 屏幕 效果 非常 清晰 轻薄 程度 薄度 适合 外形 外观 非常 漂亮,1
80,真的 习惯 不想 装 双系统 觉得 太 麻烦 硬是 认真 百度 买 word 软件 目前 方法 还 摸索 中 苹果 很棒 越来越 喜欢,1
81,关注 一个月 比较 几家 最后 选择 京东 自营 次日 达 物流 一如 即往 说 包装 严实 外层 四个 角 防撞 里面 密封 包装 打开 里面 包装 拆封 一次性 封条 检查 完 没 发现 网上 评论 差评 问题 不错 激活 保 一年 电话 咨询 月 知道 忽略 激活 更新 需要 点 时间 苹果 手机 系统 操作 比较 熟悉 没有 障碍 24 小时 电池 续航 惠 胜 几条 街 灵敏 5GwiFi 信号 上网 速度 研究 触控板 大部分 操作 丢开 罗技 蓝牙 键盘 鼠标 自带 办公 软件 设计 表格 感觉 真心 不错 云端 同步 手机 最 需要 大部分 感觉 办公 不错 值得 推荐 发热 没有 吵闹 风扇 声音 玩游戏 考虚 适合 愉快 购物 辛苦 快递 小哥 谢谢,1
82,运行 速度 非常 屏幕 效果 细腻 散热 性能 非常 外形 外观 简直 艺术品 轻薄 程度 随意 放到 公文包 中,1
83,颜值 高   顺畅   携带 方便   简单 够用   充电 很快   续航 ok   想 说 颜值 真的 高 快递 超级 晚上 下单 第二天 中午,1
84,运行 速度 超快 屏幕 效果 超爽 散热 性能 超冷 外形 外观 超酷 轻薄 程度 超轻 特色 超级 好看,1
85,运行 速度 运行 速度 非常 屏幕 效果 屏幕 效果 非常 散热 性能 散热 功能 强大 外形 外观 外形 外观 超级 漂亮 轻薄 程度 轻薄,1
86,看 好久 终于 出手 教育 优惠 便宜 还 送 beats 耳机 超级 满意 特别 轻薄 平常 自习 背着 很累 买来 学习 看 视频 玩游戏 性能 要求 不高 散热 满足 需求 物流 很快 好评,1
87,比较 轻便 适合 女生 买 老婆 玩游戏 看看 电视 写写 文档 携带方便 信仰 灯 都 想 扣下来 装到 pro 哈哈哈,1
88,运行 速度 不错 屏幕 效果 很赞 散热 性能 挺 外形 外观 颜色 非常 意外 很漂亮 轻薄 程度 很赞 特色 价格 变化 有点 晕 实在,1
89,电脑 久 电池 不行 屏幕 不行 还 特别 钟 想着 换个 苹果 都 太贵 3.8 京东 买 这款 性价比 太高 还 特别 实用 轻便 高颜值 新款 貌似 没有 款 好看 配 保护 壳 贴膜,1
90,苹果 产品 细节 到位 没有 瑕疵 客服 力 问题 马上 积极 帮 这是 第一次 苹果 产品 印象 确实 不错 显示器 方面 太 满意 屏幕 颗粒感 非常明显 建议 外 接显示器 屏幕 显示 情况 见 图片 做工 精细 外观 轻薄 精致 好评,1
91,运行 速度 很快 屏幕 效果 分辨率 真的 没话 讲 散热 性能 暂时 感觉 还 不错 外形 外观 大气 上档次 轻薄 程度 算是 笔记本 中 最好,1
92,轻薄 程度 超级 超级 轻薄 真的 很多年 前 大块头 惠普 相比 真的 爱 爱 重 适合 图书馆 看中 这点 续航 买 运行 速度 运行 流畅 很快 快捷 手势 超棒 平时 剪辑 vlog 没有 卡顿 专业 足够 开 机关 机 速度 超级 开心 屏幕 效果 apple 家 屏幕 不用说 很赞 外形 外观 设计 轻薄 好看 设计 感 信仰 灯不亮 换成 现在 样子 觉得 好看 比较 低调 内涵 哈哈哈哈 看中 很久 一款 笔电 优惠活动 直接 下手 续航 推,1
93,电脑 外观 很漂亮 购买 最 重要 原因 操作 不错 挺 流畅 还 适应 系统 跟安 卓有 较大 区别 喜欢 最 重要 缺陷 win 都 没有 苹果 macos 版 玩游戏 需要 大型 日常 办公 足够,1
94,轻薄 程度 薄厚 做 非常 轻点 屏幕 效果 屏幕显示 没得 挑 很棒 散热 性能 散热 点 一会儿 热 外形 外观 颜色 好看,1
95,第一次 购买 Mac   BookAir   系统 流畅 屏幕显示 影音 效果 都 不错 办公 软件 体验 win10 舒服 音效 音质 非常 不错 这次 入手 笔记本 非常 满意,1
96,运行 速度 苹果 触控 鼠标 特别 好用 需要 鼠标 非常 好用 iOSMac 手机 系统 用过 手机 电脑 习惯 外形 外观 非常 质感 苹果 产品 特点 优势   特色 电脑 特别 轻薄 携带 方便,1
97,mac 简直 爱不释手 真的 不用 知道 一用 爱   sf 快递 非常 海关 通关 后半夜 早上 送来 满分 物流 包装 完美 非常 给力 东西 肯定 全新 定制 满血 版 打开 一股 好闻 苹果 味 赞 ≧ ▽ ≦   os   系统 完美 省 电 流畅 好用 不错 接口 稍微 少 一点 问题   type   未来 电量 真的 好评 甩   win 几条 街,1
98,不错 OS 系统 的确 比较 流畅 本人 习惯 windows 系统 重新 装 系统 操作 非常 方便 触摸板 很快 便捷 外观 漂亮 轻薄 便携,1
99,运行 速度 很快 屏幕 效果 色彩 均匀 散热 性能 不热 轻薄 程度 轻便 外形 外观 优秀 爱,1
100,运行 速度 屏幕 效果 色彩鲜艳 外形 外观 轻薄 简单 大方 散热 性能 没有 工作 声音 散热,1
101,没 开 手机 滤镜 拍 原图 键盘 翻 毛皮 那种 手感 超轻 外观 很漂亮 方便 键盘 拽 掉 触摸 平板 私人 电脑 人脸识别 方便 电脑 适合 办公 娱乐 觉得 适合 小游戏 没 手机 方便 游戏 没 网吧 过瘾 扬声器 音质 比较 亮丽 那种 电脑 运行 速度 总体 来说 苹果 MacBook 性价比 高 建议 办公 购买 建议 速度 要求 极高 选择 surface 四核 版本,1
102,一如 精品 到手 觉得 值 做工 每个 细节 都 凸显 精致 相 比较 笔记本 真是 精细 太 键盘 键程 问题 适应 即可 屏幕 舒服 系统 很棒 微软 365 支持 基础 办公 没 问题,1
103,外观 大气 轻薄 随身携带 方便 做个 课件 还 没 够用 没什么 太大 需求,1
104,运行 速度 不错 比较 屏幕 效果 颜色 非常适合 散热 性能 外形 外观 喜欢 轻薄 程度 太好了,1
105,验证 正品   下手 电脑包 带绒 撞击 没有 特别 要求   足够   看看 电影   办公   存 照片   够用 速度 很快 贴膜 没贴   撕开 重贴 坏 电脑 轻 想 买 犹豫   现在 观察 售后 咯 目前 都 满意 快递 送货 时 下雨 包装 简洁 防雨 迫不及待 开封 换 系统 小心 误格盘 客服 技术 给力 每次 截图 都 红圈 标准 一步 操作 赞 放在 腿 连续 看 两场 球赛 轻便 微烫 看 视频 时 明暗 飘忽 客服 指导 关闭 光线 感应 win10 系统 续航 小时 看 充电 很快 一个半 小时 冲好 正品 没有 去查 要敢 京东 上卖 假货 出货量 心要 挺 整体 性价比 高 5300 入手 Mac 还 要求 有人 说 分辨率 屏幕 要求 建议 多花 银子 买 Pro 整体 来说 比较满意 特别 机子 2017 款 活动 价格 基础 发挥 主观 能动性 有降 几百 哈哈哈哈 反正 价格 力 快递 重点 吐槽 干嘛 省 几块钱 选择 圆通 顾此失彼 道理 懂吗 还好 送达 在家 外面 包装 简陋 里面 严实,1
106,纠结 久 觉得 买 教育 优惠 版 第一台 苹果电脑 苹果 系统 真的 学校 vpn 只能 ie 无奈 安装 双系统 速度 满意 还 送 耳机 客服 服务 很棒 跨省 调货 久 满意 希望 新学期 陪伴 进步 加油 性价比 喜欢 入手,1
107,运行 速度 流畅 屏幕 效果 非常 细腻 散热 性能 良好 外形 外观 不用说 图 外观 买 轻薄 程度 不用说,1
108,完 Mac   真的 不想 运行 速度 触板 手感 屏幕 清晰度 饱和度 都 产品 无法比拟 外观 更是 高大 喜欢 颜色 显得 非常 炫酷 高端 满意,1
109,没有 尝试 苹果 系统 电脑 初次 体验 满意   看 外观 薄薄的 机身 流畅 线条 第一 感觉 简约 大气 机身 轻 携带 便捷 系统 安全性 很强 注重 保护 隐私 桌面 简洁 大方 美观 响应 快速 整个 系统 特点 苹果 小白 不太 习惯 苹果 系统 好用 电脑 相信 摸索 得心应手,1
110,运行 速度 非常 屏幕 效果 视觉效果 散热 性能 目前 没 问题 外形 外观 漂亮 轻薄 程度 非常 携带,1
111,电脑 收到 预想 符合 电脑 轻薄 携带方便 运行 流畅 行云流水 一点 都 不卡 对得起 价格 外观 一辆 银色 超跑 感觉 速度 风 不多 说 反正 喜欢,1
112,第一次 苹果电脑 颜值 爆棚 没 黑 做 艺术品 系统   习惯 windows 刚上 手 有点 生疏 来说 手 很快 习惯 觉得 最后 流畅 度     真的 很快 买 低配 版本 来说 玩游戏 来说 够用 购物 体验 最后 说 一句 京东 物流 真是太 赞,1
113,运行 速度 很快 屏幕 效果 散热 性能 外形 外观 非常 轻薄 程度 非常 特色 信仰 灯,1
114,运行 速度 非常 系统 好用 屏幕 效果 颜色 不错 显示 ok 散热 性能 散热 还   烫 京东 物流 没法 说   太快 速度 点赞 自营 质量,1
115,Apple   MacBook   Air   13.3 英寸 笔记本电脑   银色 2017 新款 Core   i5   处理器 8GB 内存 128GB 闪存   收到 第一次 苹果电脑 还 适应 慢慢 学 看起来 电脑 确实 不错 喜欢,1
116,当天 下单 当天 收到 速度 超级 赞 装配 需要 软件 机子 运行 速度 很快 感 轻便,1
117,家 老樊送 礼物 电脑 俩 月 没有 问题 长时间 烫手 苹果电脑 貌美 细节 颜色 雅致 款式 简洁 超级 薄 非常适合 女生 京东 快递 力 配送 小哥 服务态度,1
118,苹果 电脑 质量 真不错 看起来 小巧 可爱 轻便 方便 高大 喜欢 公司 系统 装 双系统 这点 挺 京东 物流 很快 买 明天 售后 保证 喜欢,1
119,两天 过来 评价 整体 还 办公 需求 够 方便 小巧玲珑 电量 还 充满 电 办公 达 不到 看吧 后续 追加 发货 速度 很快 晚上 下单 第二天 给力,1
